着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師,race_id,race_name
1,7,14,メイデンタワー,牝3,54,横山武史,1:26.1,,1.6,1.0,444(-4),[東] 稲垣幸雄,202305010101,3歳未勝利
2,5,10,レディアス,牝3,54,津村明秀,1:26.8,4,6.0,3.0,424(-4),[東] 鈴木慎太,202305010101,3歳未勝利
3,5,9,アンジュール,牝3,54,嶋田純次,1:27.1,2,92.7,10.0,418(0),[東] 佐藤吉勝,202305010101,3歳未勝利
4,8,15,マテリアルガール,牝3,54,内田博幸,1:27.3,3/4,13.6,4.0,490(+14),[東] 西田雄一,202305010101,3歳未勝利
5,2,3,オールマキシマム,牝3,52,小林脩斗,1:27.9,3.1/2,5.8,2.0,450(+2),[東] 奥平雅士,202305010101,3歳未勝利
6,4,8,スピリチュアル,牝3,54,武藤雅,1:28.0,1/2,25.7,7.0,444(-6),[東] 武藤善則,202305010101,3歳未勝利
7,6,11,マラマプア,牝3,53,永野猛蔵,1:28.1,1,15.2,5.0,482(+2),[東] 伊藤圭三,202305010101,3歳未勝利
8,2,4,フジジュンフェイス,牝3,54,杉原誠人,1:28.5,2.1/2,108.1,11.0,442(-4),[東] 伊藤大士,202305010101,3歳未勝利
9,4,7,テイエムガーネット,牝3,54,武士沢友,1:28.6,1/2,22.6,6.0,468(+4),[東] 石栗龍彦,202305010101,3歳未勝利
10,3,6,カノンチャン,牝3,52,横山琉人,1:29.0,2.1/2,134.4,12.0,446(-4),[東] 高柳瑞樹,202305010101,3歳未勝利
11,6,12,クレッシェンド,牝3,52,原優介,1:29.8,5,44.1,9.0,444(-8),[東] 小手川準,202305010101,3歳未勝利
12,3,5,ラテラリス,牝3,54,菅原明良,1:29.9,3/4,180.3,14.0,448(-10),[東] 高橋裕,202305010101,3歳未勝利
13,8,16,マキバシラ,牝3,54,大野拓弥,1:30.1,1.1/4,38.5,8.0,446(-2),[東] 浅野洋一,202305010101,3歳未勝利
14,7,13,マルティネーテ,牝3,52,山田敬士,1:30.3,1,229.1,15.0,474(+16),[東] 小桧山悟,202305010101,3歳未勝利
15,1,2,スウィフトアロー,牝3,51,西塚洸二,1:31.2,5,175.1,13.0,480(0),[東] 戸田博文,202305010101,3歳未勝利
16,1,1,ニューカラー,牝3,54,丸田恭介,1:31.6,2.1/2,300.2,16.0,418(0),[東] 嘉藤貴行,202305010101,3歳未勝利
1,7,13,ハッピーロンドン,牡3,56,菊沢一樹,1:27.6,,2.6,1.0,470(0),[東] 菊沢隆徳,202305010102,3歳新馬
2,8,16,リバートゥルー,牝3,54,吉田豊,1:27.7,1/2,20.8,7.0,454(0),[東] 久保田貴,202305010102,3歳新馬
3,1,1,トゥピ,牝3,54,杉原誠人,1:28.4,4,32.5,9.0,480(0),[東] 田村康仁,202305010102,3歳新馬
4,5,9,オーラビルス,牡3,56,浜中俊,1:29.0,3.1/2,7.4,4.0,518(0),[東] 小島茂之,202305010102,3歳新馬
5,3,6,チークルージュ,牝3,54,ルメール,1:29.1,1/2,5.0,2.0,434(0),[東] 木村哲也,202305010102,3歳新馬
6,8,15,スマイルスライヴ,牡3,56,津村明秀,1:29.7,3.1/2,42.6,11.0,468(0),[東] 松山将樹,202305010102,3歳新馬
7,2,4,ホウオウアリシア,牝3,54,横山武史,1:29.7,クビ,5.1,3.0,446(0),[東] 斎藤誠,202305010102,3歳新馬
8,6,12,ヒロノサクセス,牡3,56,嶋田純次,1:30.2,3,125.0,14.0,416(0),[東] 大和田成,202305010102,3歳新馬
9,2,3,グランドジャヌー,牡3,56,丸田恭介,1:30.4,1.1/2,140.9,16.0,468(0),[東] 本間忍,202305010102,3歳新馬
